不雜,མ་འདྲེས་པ
觀,རྣམ་པར་ལྟ་བ
觸對所作,རེག་པ་ལས་གྱུར་པ
界不平等,ཁམས་མི་མཉམ་པ
同,ཐུན་མོང་བ
縁眞如理相,དེ་བཞིན་ཉིད་ལ་དམིགས་པ
諸根根所依處,དབང་པོ་རྟེན་དང་བཅས་པ
極厭患,ཤིན་ཏུ་སྐྱོ་བར་བྱེད་པ
往談論,སྨྲ་བ
應起,ལྡང་བར་བྱ་བ
尚,དེ་ལྟ་ན་ཡང
言---雜亂,ཚིག་འཆལ་བ
向善趣,བདེ་འགྲོར་སྐྱེ་བ
纒寂静,ཀུན་ནས་དཀྲིས་པ་རབ་ཏུ་ཞི་བ
待,ལྟོས་པ
安樂而住,བདེ་བ་ལ་གནས་པ
有惱,འཁྲུག་པ་དང་བཅས་པ
怡養,གསོ་བར་བྱེད་པ
細法,ཕྲ་བ
光影,སྣང་བརྙན
上出離,གོང་དུ་ངེས་པར་འབྱུང་བ
幽縶,བཙོན་བྱེད་པ
離諸放逸,བག་ཡོད་པ
所知勝解愛樂,ཤེས་བྱ་ལ་མོས་ཤིང་འདོད་པ
未能永害,ལེགས་པར་མ་ཆོམས་པ
索訶世界主,མི་མཇེད་ཀྱི་བདག་པོ
多羅樹行,ཏ་ལའི་འཕྲེང
音,ཚིག
觸所有貪愛,རེག་བྱ་རྣམས་ལ་འདོད་པའི་སྲིད་པ
通達法義,ཆོས་དང་དོན་རབ་ཏུ་འབྱེད་པ
解,རྣམ་པར་ཤེས་པ
乘樹,བཞོན་པ་འབྱུང་བའི་ཤིང་ལྗོན་པ
世法及非世法,དུས་རྣམས་དང་དུས་ཀྱིས་མ་བསྡུས་པའི་ཆོས་རྣམས
不了知數習,འདྲིས་པ་ཡོངས་སུ་མི་ཤེས་པ
世俗苦因,བརྡར་བཏགས་པའི་སྡུག་བསྔལ་གྱི་རྒྱུ
攝受有情,སེམས་ཅན་ལ་ཕན་འདོགས་པ
非愛似非愛,མི་སྙན་པ་ལ་མི་སྙན་པར་གྲགས་པ
眞實智,དེ་ཁོ་ནའི་ཤེས་པ
恨,ཞེ
内法究竟,འདི་པའི་མཐར་ཐུག་པ
出離遠離功徳,མངོན་པར་འབྱུང་བ་དང་རབ་ཏུ་དབེན་པའི་ཕན་ཡོན
應---作,བྱ་པ
今世,འཇིག་རྟེན་འདི
念無忘失,བརྗེད་ངས་པར་མི་འགྱུ་བ
喩,ཚིག་བླ་དབ༹གས
煩惱滋長,ཉོན་མོངས་པ་བསགས་པ
已所違犯,ངེས་པ་བྱུང་བ
積修,འཁོད་པ
等流,རྒྱུ་མཐུན་པ
已學,བསླབ་པར་གྱུར་པ
委寄淨,གཞག་པས་རུང་བ
鹹,ལན་ཚབ༹
請,དྲིས་པ
無等,ཟླ་མེད་པ
有過患法,ཉེས་དམིགས་དང་བཅས་པའི་ཆོས
少有所求,དོན་ཉུང་བ་ཆོས
無學界相,མི་སློབ་པའི་ཁམས་ཀྱི་མཚན་ཉིད
得成熟,འགྲུབ་པར་འགྱུར་བ
別離,དབྱེ་བ
不愛樂,མི་འདོད་པ
善知恩,བྱས་པ་གཟོ་བ
未了義,དྲང་བའི་དོན
令善清淨,ཤིན་ཏུ་ཡོངས་སུ་དག་པར་སྤྱོད་པ
損減想,སྐུར་པ་འདེབས་པའི་འདུ་ཤེས
善説,ལེགས་པར་བསྙད་པ
除,རྣམ་པར་ཟློག་པར་བྱེད་པ་ཉིད
人性,སྐྱེས་པ་ཉིད
出世種子,འཇིག་རྟེན་ལས་འདས་པའི་ས་བོན
八支成就言詞,ཡན་ལག་བརྒྱད་དང་ལྡན་པའི་ཚིག
聽,ཉན་པར་བྱེད་པ
黄皴,སྐྱ་བོར་གྱུར་པ
證法,ཐོབ་པའི་ཆོས
少聞者,ཐོས་པ་ཉུང་ངུ
喜樂,བདེ་བ་དང་ཡིད་བདེ་བ
殺生,ཚེ་བ
最高廣性,མཆོག་ཏུ་རྒྱ་ཆེ་བ
思所成慧地決擇,བསམ་པ་ལས་བྱུང་བའི་སའི་རྣམ་པར་གཏན་ལ་དབབ་པ
刹那,སྐད་ཅིག
可樂,ཡང་དག་པར་དགའ་བར་འགྱུར་བ
志求,དོན་དུ་གཉེར་བ
隨好,དཔེ་བྱད་བཟང་པོ
塗,བྱུག་པས་བྱུགས་པ
聲,སྒྲ
酒飮味,ཆང་གི་རོ
信述,ངེས་པར་རྟོགས་པ
往返和好,སྡུམས་བྱ་བ
諸欲,ལོངས་སྤྱོད་རྣམས
邪推搆,རྟོག་པར་བྱེད་པ
坐,འདུག་པ
令入遠離,རབ་ཏུ་དབེན་པ་ལ་གཟུད་པ
不如實簡擇,ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་ཀུན་ཏུ་མི་སྣང་བ་ཉིད
獨處空閑,གཅིག་ཏུ་མ་འདྲེས་པ
纒繞其心,སེམས་ཁྱབ་པར་འདུག་པ
如是,དེ་ལྟར
人世界,མིའི་འཇིག་རྟེན
爲法器,སྣོད་དུ་གྱུར་པ
有貪心者,འདོད་ཆགས་དང་བཅས་པ
奪取,ཕྲོགས་ཏེ
得離,བྲལ་བར་འགྱུར་བ
極鮮白衣,རས་ཕུན་སུམ་ཚོགས་པ
尊勝者,ཁྱད་པར་དུ་འཕགས་པ
種種品類,རྣམ་པ་སྣ་ཚོགས
捨依處,གཏོགྭང་བའི་གནས
損害其心,སེམས་སྣད་པར་གྱུར་པ
不相似子,མི་འདྲ་བའི་བུ
雄壮,མཐུ་ཡོད་པ
隨逐,རྗེས་སུ་འབྲེལ་བ་ཉིད
除匱乏,ཕོངས་པ་སེལ་པ
體比量,ངོ་བོ་ཉིད་ལས་རྗེས་སུ་དཔག་པ
眞實智,དེ་ཁོ་ན་ཤེས་པ
無顚倒,ཡང་དག་པ
文詞呪術,གསང་ཚིག
異相相,མི་མཐུན་པའི་རྣམ་པ
業威力所生,ལས་ཀྱི་མཐུས་བསྐྱེད་པ
順正理,ཚམ་པ་དང་རིགས་པ
心雜染相,སེམས་ཀྱི་ཀུན་ནས་ཉོན་མོངས་པའི་མཚན་ཉིད
散亂,རྣམ་པར་ག-ཡེང་བར་གྱུར་པ
如癰,འབྲས་སུ་གྱུར་པ
無量想,ཚད་མེད་པའི་འདུ་ཤེས
婬,འཁྲིག་པ
攝爲親侍,ཉེ་བར་འཇོག་པར་བྱེད་པ
七金山,གསེར་གྱི་རི་བདུན་པོ
有想,འདུ་ཤེས་ཅན
未温習,མ་གོམས་པ
實非聚似聚顯現,གོང་བུ་མ་ཡིན་ཡང་གོང་བུར་སྣང་བ
應所修空,བསྒོམ་པའི་སྟོང་པ་ཉིད
靜慮境界不可思議,བསམ་གཏན་པའི་ཡུལ་བསམ་གྱིས་མི་ཁྱབ་པ
觀唯食漸漸不淨,ཁ་ཟས་རན་པས་ཁད་ཀྱིས་ཁད་ཀྱིས་གསོ་སྟེ་དེ་མི་གཙང་བར་ཡང་དག་པར་མཐོང་པ
思慕,གདུང་བ
瞋行補特伽羅,གང་ཟག་ཞེ་སྡང་སྤྱད་པ
專心,སེམས་རྩེ་གཅིག་ཏུ
毀壞,ཉམས་པ
未久修習,ཡུན་རིང་པོ་ནས་མ་གོམས་པ
空有,ཙམ་དུ་ཟད་པ
前後常,སྔ་ཕྱིར་རྟག་པ
親附依止而住,ཉེ་བར་བརྟེན་ཏེ་གནས་པ
轉捨---所依,གནས་འགྱུར་བ
隨相識,རྣམ་པར་ཤེས་པ་མཚན་མའི་རྗེས་སུ་འབྲང་བ
多疑,ཐེ་ཚོམ་མང་བ་ཆེན་པོ་དང་ལྡན་པ
不清淨,མི་གསལ་བ
問,ཡོངས་སུ་འདྲི་བ
識轉,རྣམ་པར་ཤེས་པ་འཇུག་པ
具福慧者,ཚོགས་པར་འདུ་འོས
燒諸煩惱,ཉོན་མོངས་པ་ཡོངས་སུ་སྲེག་པར་བྱེད་པ
増上不可愛果,འབྲས་བུ་ཤིན་ཏུ་མི་འདོད་པ
世間修道,འཇིག་རྟེན་པའི་བསྒོམ་པའི་ལམ
覆藏意,བཅབ་པའི་བསམ་པ
禁戒淨命圓滿,ཚུལ་བཞིན་དུ་འཚོ་བ་ཕུན་སུམ་ཚོགས་པ
修,སྦྱོར་བར་བྱེད་པ
到究竟地,མཐར་ཐུག་པར་འགྲོ་བའི་ས
得生起,མངོན་པར་འགྲུབ་པར་འགྱུར་བ
令不再起,ཅི་ནས་ཕྱིན་ཆད་འགྲོ་བར་མི་འགྱུར་བ
安守正念,དྲན་པ་ཉེ་བར་གཞགས་པ
宿習,སྔོན་གོམས་པ
正審慮諸法道理,ཡང་དག་པའི་ཆོས་བརྟགས
無有,མེད་པ
唯是識性,རྣམ་པར་རིག་པ་ཙམ་ཉིད
糜飯長養,འབྲས་ཆན་དང་ཟན་དྲོན་གྱིས་ཉེ་བར་གསོས་པ
令---増長廣大,འཕེལ་ཞིང་རྒྱས་པར་བྱེད་པ
未串習,ཡོངས་སུ་བྱང་བར་མ་བྱས
一種相生決定性,རྣམ་པ་གཅིག་ཏུ་སྐྱེ་བར་ངེས་པ
後際,ཕྱི་མའི་མཐའ
金,དབྱིག
工巧業處,བཟོའི་གནས
焚燒,བསྲེགས་པར་གྱུར་པ
妙善圓滿,ཤིན་ཏུ་ཕུན་སུམ་ཚོགས་པ
大,ཤིན་ཏུ་ཆེ་བ
諸染法,ཉོན་མོངས་པ་ཅན་གྱི་ཆོས
飢苦,བཀྲེས་པའི་སྡུག་བསྔལ
往生天上,མཐོ་རིས་སུ་འཇོག་པ
前,ཐོག་མ
施諸車乘,བཞོན་པ་བྱིན་པ
矯,འདྲིད་པ
成所作事,བྱ་བ་བསྒྲུབ་པ
正知,ཤེས་བཞིན
一門次第,གོ་རིམས་ཀྱི་རྣམ་གྲངས་གཅིག
已與果界,འབྲས་བུ་བསྐྱེད་པའི་ཁམས
住本性,རང་བཞིན་དུ་གནས་པ
縁無量無分別法,སོ་སོ་རང་གི་ཆོས་ཀྱི་དམིགས་པ་དཔག་ཏུ་མེད་ཅིང་ཡོངས་སུ་མ་ཆད་པ
有徳,ཡོན་ཏན་དང་ལྡན་པ་ཉིད
射,འཕང་བ
墮自相續各各決定差別種子,སོ་སོར་ངེས་པར་རྒྱུད་ལ་ཡོད་པའི་ས་བོན
無縁慈,དམིགས་པ་མེད་པའི་བྱམས་པ
火珠,མེ་དང་ནོར་བུ
識趣識住,རྣམ་པར་ཤེས་པ་འཛིན་པའི་རྣམ་པར་ཤེས་པའི་གནས
言詞,གསུང
止息,ཡང་དག་པར་སྡོམ་པ
遮止,དགག་པ
牽引因,འཕེན་པའི་རྒྱུ
不能傾動,བསྐྱོད་པར་མི་ནུས་པ
有無有愛,ཡོད་པ་དང་མེད་པ་ལ་སྲེད་པ
勝解所起相似種子,མོས་པས་བསྐྱེད་པ་དེ་དང་འདྲ་བའི་ས་བོན
正思惟,ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ
攝受有情,སེམས་ཅན་ཕན་འདོགས་པ
分別假立,འདོགས་པ
無憤恚心,གནོད་སེམས་མེད་པའི་སེམས
解脱方便,ཐར་པའི་ཐབས
能聞,གསན་པ
勤求,ཡོངས་སུ་ཚོཨོལ་བར་བྱེད་པ
當---作,བྱེད་པ
隱沒,མེད་པར་འགྱུར་བ
地方所,ས་ཕྱོགས
遠離,རབ་ཏུ་དབེན་པ་ཉིད
等照義,ཡང་དག་པར་སྟོན་པའི་དོན
於境界任運分別,ཡུལ་ལ་རང་གི་ངང་གིས་འཇུག་པ
汚染他家,ཁྱིམ་སུན་འབྱིན་པ
於前際無知,སྔོན་གྱི་མཐའ་མི་ཤེས་པ
出息,དབུགས་འབྱུང་བ
負---債,བུ་ལོན་ཆགས་ན
審諦作意思惟,དེ་ཉིད་ཡིད་ལ་བྱེད་པ
應持,ཀུན་ཏུ་གཟུང་བར་བྱ་བ
隨至,རྗེས་སུ་འགྲོ་བ
下劣慢,ཆུང་བའི་ང་རྒྱལ
向成熟,ཡོངས་སུ་སྨིན་པར་འགྱུར་བ
淨解脱,སྡུག་པའི་རྣམ་པར་ཐར་པ
相屬展轉相似,བྲེལ་པས་ཕན་ཚུན་མཐུན་པ
所應遠離,ཡོངས་སུ་སྤང་བར་བྱ་བ
慘烈,གཏུམ་པ
雜染著安足處,ཀུན་ཏུ་ཆགས་པའི་གནས
隣近,འབྲེལ་པ
莊嚴經,མདོ་སྡེའི་རྒྱན
諸行自相,དུ་བྱེད་རྣམས་ཀྱི་རང་གི་མཚན་ཉིད
悲心,སྙིང་རྗེ་བའི་སེམས
陶錬,སྦྱངས་པ
不壞,རབ་ཏུ་མ་ཉམས་པ
令強盛,སྟོབས་དང་ལྡན་པ
具足忍力,བཟོད་པ་དང་ལྡན་པ
解肢節,གནད་འཆད་པ
資糧已具,ཚོགས་བསགས་པ
趣受,ཚོར་གྱུར་པ
加行殺害,མངོན་པར་འདུ་བྱེད་པས་གསོད་པ
本性界,རང་བཞིན་གྱི་ཁམས
諸法一味眞如,ཆོས་ཐམས་ཅད་ལ་དེ་བཞིན་ཉིད་རོ་གཅིག་པ
昏,མུན་ནག
不靜相,རབ་ཏུ་མ་ཞི་བའི་མཚན་ཉིད
衆生未來世心,གང་ཟག་རྣམས་ཀྱི་མ་འོངས་པའི་སེམས
法無我性,ཆོས་ལ་བདག་མེད་པ
壽量經八萬歳,ཚེ་ལོ་བརྒྱད་ཁྲི་ལ་ཐུག་པར་འགྱུར་བ
觀爲麁相,རགས་པར་ལྟ་བ
利他,གཞན་གྱི་དོན
隨其所欲,ཅི་འདོད་པར
輕易,ཡང་བ
聲譽,སྒྲ
思擇,རྣམ་པར་འབྱེད་པ
顯,ངོ་ན་མཐོན་དུ
一指香,ཕྱི་སའི་དྲི
超出坑塹,འོབས་བོར་བ
念無忘失,དྲན་པས་བརྗེད་པ་མེད་པ
除相,མཚན་མ་སེལ་བ
假説有情,སེམས་ཅན་དུ་འདོགས་པ
五識身相應地,རྣམ་པར་ཤེས་པའི་ཚོགས་ལྔ་དང་ལྡན་པའི་ས
熟,བརྟོལ་བ
造---者,བྱེད་པ
正了知,ཡང་དག་པར་མཁྱེན
不緩加行,མི་ལྷོད་པའི་སྦྱོར་བ
應示現,ཡང་དག་པར་སྟོན་པ
五支不放逸,ཡན་ལག་ལྔའི་བག་ཡོད་པ
不律儀者,མ་བསྡམས་པ
常見,རྟག་པར་ལྟ་བ
解釋次第,རྣམ་པར་བཤད་པ་དང་རྗེས་སུ་མཐུན་པ
睫如牛王,རྫི་མ་བའི་ལྟ་བུ
内意思擇,ནང་གི་ཡིད་ཀྱི་རྣམ་པར་རྟོག་པ
破和合僧,དགེ་འདུན་འབྱེད་པར་བྱེད་པ
若不爾,ཅིག་ཤོས
行媒嫁,སྨྱན་བྱས
勝徳所攝法,ཡོན་ཏན་ཁྱད་པར་ཅན་དུ་གཏོགས་པའི་ཆོས
能住,གནས་པ
可得,ལྟ་སྣང་བ
莊飾,བརྒྱན་པ
語工圓滿,ཚིག་གི་བྱ་བ་དང་ལྡན་པ
自體生起,ལུས་མངོན་པར་འགྲུབ་པ
集資糧,ཚོགས་ཡང་དག་པར་བསྒྲུབས་པ
疲倦,ངལ་བ
光影明闇,གྲིབ་མ་དང་ཉི་མ་དང་སྣང་བ་དང་མུན་པ
功徳田,ཡོན་ཏན་གྱི་ཞིང
爲翼從,ཕྱི་བཞིན་འབྲང་བ
廣分別毘奈耶,རྣམ་པར་འབྱེད་པའི་འདུལ་བ
治罰,ཆད་པས་གཅོད་པར་བྱེད་པ
不生厭患,སྐྱོ་བ་མི་སྐྱེད་པ
獲得,རྙེད་པ
分,ཕྱོགས་འགའ
平等,ཐུན་མོང་དུ
遍築,ཀུན་ཏུ་དམྱལ་བ
和敬,འདུད་པ
黜---嫌,གནོད་པར་འགྱུར་བ
滅,བསལ་བ
有所作,བྱ་བ་དང་བཅས་པ
攝善法精進,དགེ་བའི་ཆོས་སྡུད་པའི་བརྩོན་འགྲུས
可愛,ཡིད་དུ་འོང་བ
多生相續,སྐྱེ་བའི་རྒྱུན
分散,རྣམ་པར་འཐོར་བ
成,འགྲུབ་པ
嫉妬性,ཕྲག་དོག་སྤྱོད་པ
無復退失,ཡོངས་སུ་ཉམས་པར་མི་འགྱུར་བ
異類差別,གཞན་གྱི་རིགས་ཀྱིས་ཁྱད་པར་ཅན
覺悟安立諦,རྣམ་པར་གཞག་པའི་བདེན་པ་རྟོགས་པ
言説轉,བརྗོད་པ་འཇུག་པ
離言自性,བརྗོད་དུ་མེད་པའི་དོན
妙好,བཟང་པོ
倍修,སླར་ཞིང་འབྱུང་བ
大善喜悦,མཆོག་ཏུ་དགའ་བ་རྒྱ་ཆེན་པོ་དགེ་བ
尊貴殊勝,ལུས་ཀྱི་ཁྱད་པར
勤,བརྩོན་པ
難見,བལྟ་དཀའ་བ
得求,ཐོབ་པ་ཚོལ་བ
強盛毘鉢舍那道,ལྷག་མཐོང་གི་ལམ་སྟོབས་དང་ལྡན་པ
資具匱乏苦,ཡོ་བྱད་མེད་པའི་སྡུག་བསྔལ
意---取,འདོད་པ
甚,ཧ་ཅང
非決定,འཁྲུལ་པ་ཡོད་པ
規求,རེ་བ
自,རང་རང་གིས
令---愛樂,དགའ་བར་བྱེད་པ
現前,གནས
能發起,ཉེ་བར་སྒྲུབ་པ
増長次第,མངོན་པར་འགྲུབ་པའི་གོ་རིམས
所引,བསྐྱོད་པ
坐臥具事,སྟན་དུ་གདིང་བ
分位轉變所起過患,གནས་སྐབས་རྣམ་པར་འགྱུར་བ་ལས་གྱུར་པའི་ཉེས་དམིགས
名想,མིང་ཅན
希慮,འདོད་པར་བྱེད་པ
興言論,ཐ་སྙད་འདོགས་པར་བྱེད་པ
方便修習,ཐབས་ཀྱིས་བསྒོམ་པ
應當奉請,སྤྱན་དྲང་བའི་འོས་ཡིན་པ
密,དཀྲིས་པ
已壞,བམ་པ
水和合,ཆུ་དང་སྦྱར་བ
神通力,རྫུ་འཕྲུལ་གྱི་མཐུའི་སྟོབས
上妙,ཤིན་ཏུ་རྒྱ་ཆེན་པོ
無疾病,ནད་མེད་པ
頭然,མགོ་ལ་མེ་འབར་བ
言詞,ཚིག
財施,ཟང་ཟིང་གི་སྦྱིན་པ
毀辱,གནོད་པ
四種眞實道理,རིགས་པ་བཞི་ཡང་དག་པ
正迴向,ཡོངས་སུ་བསྔོ་བ་ཉིད
貪愛河,སྲེད་པའི་ཆུ་ཀླུང
涅槃宮,མྱ་ངན་ལས་འདས་པའི་གྲོང་ཁྱེར
不---誑,སླུ་བར་མི་བྱེད་པ
廣大勝解,རྒྱ་ཆེན་པོ་ལ་མོས་པ
不深恭敬,བཀུར་སྟི་མི་བྱེད་པ
無漏後得世間智,ཟག་པ་མེད་པའི་རྗེས་ལས་ཐོབ་པ་འཇིག་རྟེན་པའི་ཤེས་པ
決定勝滿,ངེས་པར་ལེགས་པའི་འབྱོར་པ
應可成熟,ཡོངས་སུ་སྨིན་པར་མཛད་པ
恭敬法,ཆོས་ལ་གུས་པ
腋,ལྟོ
隨順世間法,འཇིག་རྟེན་དང་མཐུན་པར་བྱ་བའི་ཆོས
究竟時,མཐར་ཕྱིན་པའི་ཚེ
慢所成苦,ང་རྒྱལ་ལས་བྱུང་བའི་སྡུག་བསྔལ
惡分別,ཉེས་པར་བརྟགས་པ
棄捨善軛,བརྩོན་པ་བཏང་བ་ཉིད
於諸欲離繫衆,འདོད་པ་དག་དང་བྲལ་བ་རྣམས
於長夜中,ཡུན་རིང་པོར
得無願,སྨོན་པ་མེད་པར་འགྱུར་བ
類智,རྗེས་སུ་ཤེས་པ
自防護,བདག་ཉིད་བསྲུང་བ
盲,ལོང་བ
不現前,མངོན་སུམ་དུ་གྱུར་པ་མ་ཡིན་པ
増上生果決定勝果,མངོན་པར་མཐོ་བ་དང་ངེས་པར་ལེགས་པའི་འབྲས་སུ
施已,སྦྱིན་པ་བྱིན་ནས
漂蕩,ཁྱེར་བ
睡---樂,གཉིད་ཀྱི་བདེ་བ
當生隨喜,རྗེས་སུ་ཡི་རང་བར་གྱིས་ཤིག
令---善清淨,ཡོངས་སུ་དག་པར་བྱ་བ
無雜染心,ཀུན་ནས་ཉོན་མོངས་པ་ཅན་མ་ཡིན་པའི་སེམས
通達,རྟོགས་ནས
非淨信家,ཁྱིམ་མ་དད་པ
四方,གྲུ་བཞི
諍訟,རྩོད་པ
放逸,བག་མེད་པ
面無怖色,བཞིན་མི་འགྱུར་བ
如是種類,དེ་ལྟ་བུར་གྱུར་པ
調善,དེས་པ
有起,བྱུང་བ
心心所生長門義,སེམས་དང་སེམས་ལས་བྱུང་བའི་ཆོས་རྣམས་ཀྱི་སྐྱེ་བའི་སྒོའི་དོན
輕慢相應尋思,རློམ་པ་དང་ལྡན་པའི་རྣམ་པར་རྟོག་པ
縁,བརྟེན་ཏེ
壞滅,འཇིག་པ
内自證,སོ་སོ་རང་རིག་པ
世間,འཇིག་རྟེན
初靜慮近分定,བསམ་གཏན་དང་པོའི་ཉེར་བསྡོགས
鄙惡所作覆藏,ཉེས་པ་བྱས་པ་འཆབ་པ
輪迴生死,འཆི་འཕོ་ཞིང་སྐྱེ་བ
離顚倒,ཕྱིན་ཅི་ལོག་དང་བྲལ་བ
靜慮,སེམས་པ
緑豆,མོན་སྲན་སྡེའུ
我愛,ལུས་ལ་འདོད་པ
物類善男子,རིགས་ཀྱི་བུ་ནོར་གྱི་རང་བཞིན་ཅན
所執,གཟའ
處空閑,དགོན་པ་ན་གནས་པ
非慼,ཡོངས་སུ་ཉམས་པ་མ་ཡིན་པན
闇,ནག་པོ
不眞,དེ་ཁོ་ན་མ་ཡིན་པ
感子之業,བུ་ཡོད་པར་འགྱུར་བའི་ལས
觸惱,གནོད་པ
兩根,གཉིས་ཀྱི་དབང་པོ
大苦因法,སྡུག་བསྔལ་གྱི་རྒྱུར་གྱུར་པའི་ཆོས
無有少法能見少法,གང་ཡང་ཆོས་གང་ལ་ཡང་རྟོག་པར་མི་བྱེད་པ
離間語増上果,ཕྲ་མའི་དབང་གི་འབྲས་བུ
修念住者,དྲན་པ་ཉེ་བར་གཞག་པ་ལ་བརྩོན་པ
損害半擇迦,ཉམས་པའི་མ་ནིང
眞聖慧,འཕགས་པའི་ཤེས་རབ
不轉,འགྲོ་བར་མི་འགྱུར་བ
無所對,མི་མཐུན་པ་མེད་པ
不宣説,མི་སྟོན་པ
増益非實有邊,ཡོད་པ་མ་ཡིན་པ་ལ་སྒྲོ་འདོགས་པའི་མཐའ
流轉方便,འཇུག་པའི་ཐབས
師圓滿,སྟོན་པ་ཕུན་སུམ་ཚོགས་པ
相續清淨,སེམས་ཀྱི་རྒྱུད་རྣམ་པར་དག་པ
意行,ཡིད་འཇུག་པར་བྱེད་པ
欲棄,དོར་བར་འདོད་པ
縁會,རྐྱེན་བསྒྲུབ་པར་འགྱུར་བ
性不暴惡,རང་བཞིན་གྱིས་མི་གཏུམ་པ
無厭倦方便,མི་སྐྱོ་བར་བྱ་བའི་ཐབས
令不解脱,རྣམ་པར་གྲོལ་བར་མི་འགྱུར་བ
制伏,བཅོམ་པ
觀察,དཔྱད་པ
益世間,འཇིག་རྟེན་ལ་ཕན་འདོགས་པ
齒鬘,སོ་རྒྱུན
道果涅槃,ལམ་གི་འབྲས་བུ་མྱ་ངན་ལས་འདས་པ
如理勤修,ཚུལ་བཞིན་དུ་བརྩོན་པར་བྱེད་པ
功徳藏,བསོད་ནམས་ཀྱི་ཕུང་པོ
一切結永無餘,ཀུན་ཏུ་སྦྱོར་བ་ཐམས་ཅད་ཡོངས་སུ་གཏུགས་པ
依轉,ལུས་གྱུར་པ
修所斷業,བསྒོམ་པས་སྤང་བར་བྱ་བའི་ལས
執著惡行,ཉེས་པར་སྤྱོད་པ་ལ་མངོན་པར་ཞེན་པ
放逸處,བག་མེད་པའི་གནས
行施,སྦྱིན་པ་དག་སྦྱིན་པ
本性住種子,རང་བཞིན་དུ་གནས་པའི་ས་བོན
事,བརྟེན་པ
所有,གཏོགས་པ
炭火,དོང
出現,འབྱུང་བར་འགྱུར་བ
岐路,ལམ་ཁ་བྲག
内増上取作意,སོ་སོ་རང་གི་རྟོགས་པ
非愛,མི་སྙན་པ
涅槃究竟寂靜,མྱ་ངན་ལས་འདས་པ་ནི་ཞི་བ
無亂,མ་ནོར་བ
獲得一切自在,དབང་ཐོབ་པ
遮制,དགག་པ
未爲喜足,ཆོག་པར་མི་འཛིན་པ
實罪,ཉེས་པ་ཡང་དག་པ
安樂,བདེ་བར་བྱ་བ
所讃,བསྔགས་པ
閉,བཙུམས་པ
遭遇,ཕྲད་པར་འགྱུར་བ
屬,རག་ལུས་པ
熱惱,ཡོངས་སུ་གདུང་བ
次第生起,གོ་རིམས་བཞིན་དུ་སྐྱེ་བ
就勝而言,གཙོ་ཆེར
觸惱,གནོད་པ་བྱས
無所縁法,དམིགས་པ་མེད་པ
見縛,ལྟ་བ་ལས་གྱུར་པའི་འཆིང་བ
煩惱隨眠有情,སེམས་ཅན་ཉོན་མོངས་པའི་བག་ལ་ཉལ་བ་དང་ལྡན་པ་རྣམས
能持,རྟོན་པར་བྱེད་པ
所縁,དམིགས་པ
恭敬,གུས་པར་བྱེད་པ
無有障礙,མི་སྒྲིབ་པ
輕擧想,ཡང་བའི་འདུ་ཤེས
醫眩者,རབ་རིབ་ཅན
四無所畏,མི་འཇིགས་པ་བཞི
謗,སྐུར་པ་འདེབས་པ
無虚誑,དོན་མེད་པར་མི་འགྱུར་བ
増上,བདག་པོ
不相違背,མི་འགལ་བ
等隨念欲,ཀུན་ཏུ་རྗེས་སུ་དྲན་པར་འགྱུར་བ
不能信解,མ་མོས་པ
最甚深義所行境界,ཤིན་ཏུ་ཟབ་པའི་དོན་སྤྱོད་ཡུལ
齒増上,ན་ཚོད་ཀྱིས་ལྷག་པ
業,བྱ་བ
已作苦邊,སྡུག་བསྔལ་མཐར་བྱས་པ
率爾墮境所起受,ཡུལ་ཉེ་བར་སྦྱོར་བ་ལས་བྱུང་བའི་ཚོར་བ
審正觀察,ཉེ་བར་སེམས་པ
出,བྱང་བ
積集財寶,ལོངས་སྤྱོད་བསག་པ
無相三摩地,མཚན་མ་མེད་པའི་ཏིང་ངེ་འཛིན
所緊縛,ཀུན་ཏུ་སྦྱོར་བར་འགྱུར་བ
勃惡貪婪,གཅམ་བུ
廣果天,འབྲས་བུ་ཆེ་བ
自性同分,རང་བཞིན་རིགས་མཐུན་པ
驅擯,སྨད་པ
任運隨轉,རང་གི་ངང་གིས་འཇུག་པ
離,བྲལ་བ
白言,འདི་སྐད་གསོལ་ཞེས་གྲག་པ
巧智平等分布,བཟོ་དང་ལས་ཀྱི་གནས་ཤེས་པ་སྦྱིན་པ
從是已後,དེ་ཕྱིན་ཆད
眞實事,ཡང་དག་པའི་དངོས་པོ་དང་ལྡན་པ
名稱,སྙན་པ
無爲,འདུས་མ་བྱས་པ
寶功徳,དཀོན་མཆོག་གི་ཡོན་ཏན
安樂,བདེ་བ་ལ་རེག་པ
爲勝,ལྷུར་ལེན་པ
現法利,ཚེ་འདི་པའི་དོན
廣大善法,དགེ་བའི་ཆོས་རྒྱ་ཆེན་པོ
黒暗,མུན་པ
依於義,དོན་ལ་རྟོན་པ
所信解方便,ཁོང་དུ་ཆུད་པར་བྱ་བའི་ཐབས
聖教廣義,བསྟན་པའི་དོན་རྒྱས་པ
内慧觸證,རང་གི་ཤེས་རབ་ཀྱིས་སོ་སོར་རིག་པར་འགྱུར་བ
如是等類一切,འདི་དང་དེ་དང་མཐུན་པ་རྣམས
死生智,འཆི་འཕོ་དང་སྐྱེ་བ་ཤེས་པ
